season,bowler,runs_conceded,balls_bowled,wickets,extras_conceded,wides,noballs,economy,bowling_avg,bowling_sr
2014,Sandeep Sharma,340,255,19,18,11,3,8.42,18.84,13.42
2014,Shakib Al Hasan,326,307,15,13,7,0,6.63,22.6,20.47
2014,Shivam Sharma,121,96,3,0,0,0,7.56,40.33,32.0
2014,TG Southee,73,63,0,5,3,0,7.43,inf,inf
2014,UT Yadav,352,283,12,29,10,3,8.08,31.75,23.58
2014,V Shankar,19,6,0,0,0,0,19.0,inf,inf
2014,VR Aaron,278,238,16,31,15,3,7.79,19.31,14.88
2014,VS Malik,28,19,1,1,1,0,9.16,29.0,19.0
2014,WD Parnell,214,190,7,21,8,1,7.42,33.57,27.14
2014,Y Venugopal Rao,16,12,0,0,0,0,8.0,inf,inf
2014,YK Pathan,10,6,0,0,0,0,10.0,inf,inf
2014,YS Chahal,380,333,12,9,3,0,7.01,32.42,27.75
2014,Yuvraj Singh,183,140,6,8,4,0,8.19,31.83,23.33
2014,Z Khan,142,138,6,14,4,0,6.78,26.0,23.0
2015,A Ashish Reddy,49,37,4,2,1,0,8.27,12.75,9.25
2015,A Mishra,301,249,9,11,8,0,7.52,34.67,27.67
2015,A Nehra,436,385,25,17,12,1,7.06,18.12,15.4
2015,AB Dinda,59,33,0,4,1,2,11.45,inf,inf
2015,AD Mathews,241,185,7,8,5,0,8.08,35.57,26.43
2015,AD Russell,312,254,14,20,9,1,7.84,23.71,18.14
2015,AN Ahmed,120,76,2,9,2,2,10.18,64.5,38.0
2015,AR Patel,382,289,14,17,9,0,8.28,28.5,20.64
2015,Ankit Sharma,108,86,3,6,2,0,7.95,38.0,28.67
2015,Anureet Singh,449,322,16,28,7,5,8.89,29.81,20.12
2015,Azhar Mahmood,39,20,1,2,0,2,12.3,41.0,20.0
2015,B Kumar,393,323,19,26,13,0,7.78,22.05,17.0
2015,BB Sran,29,20,0,7,1,1,10.8,inf,inf
2015,BE Hendricks,105,82,7,7,3,1,8.2,16.0,11.71
2015,Bipul Sharma,50,42,4,0,0,0,7.14,12.5,10.5
2015,CH Gayle,14,13,0,2,1,0,7.38,inf,inf
2015,CH Morris,308,270,15,28,11,1,7.47,22.4,18.0
2015,CJ Anderson,33,24,1,0,0,0,8.25,33.0,24.0
2015,D Wiese,344,262,17,16,8,0,8.24,21.18,15.41
2015,DJ Bravo,416,324,28,26,9,1,8.19,15.79,11.57
2015,DJ Hooda,122,97,1,9,6,0,8.1,131.0,97.0
2015,DJ Muthuswami,101,84,4,7,0,0,7.71,27.0,21.0
2015,DJG Sammy,25,18,0,1,0,0,8.67,inf,inf
2015,DR Smith,17,12,1,0,0,0,8.5,17.0,12.0
2015,DS Kulkarni,261,221,13,29,10,1,7.87,22.31,17.0
2015,DW Steyn,168,116,3,3,2,0,8.84,57.0,38.67
2015,GB Hogg,142,127,10,6,1,0,6.99,14.8,12.7
2015,GJ Maxwell,93,63,2,4,3,0,9.24,48.5,31.5
2015,GS Sandhu,82,48,1,4,0,0,10.75,86.0,48.0
2015,Gurkeerat Singh,64,56,3,2,2,0,7.07,22.0,18.67
2015,HH Pandya,171,107,1,7,4,1,9.98,178.0,107.0
2015,HV Patel,319,272,19,20,9,0,7.48,17.84,14.32
2015,Harbhajan Singh,436,349,19,12,7,0,7.7,23.58,18.37
